route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
n1,,n1,Elmont Rd / Central Av,,3,,60AA47,FFFFFF,,,
n15,,n15,Woodfield Rd / Long Beach Rd,,3,,EF853F,FFFFFF,,,
n16,,n16,Hempstead Av / Franklin St,,3,,60AA47,FFFFFF,,,
n16C,,n16C,Hempstead Tpk / Franklin St,,3,,60AA47,FFFFFF,,,
n19,,n19,Merrick Rd,,3,,257489,FFFFFF,,,
n19X,,n19X,Sunrise Hw Express,,3,,FE404E,FFFFFF,,,
n20G,,n20G,Northern Bl,,3,,EF853F,FFFFFF,,,
n20H,,n20H,Northern Bl / Cedar Swamp Rd,,3,,EF853F,FFFFFF,,,
n20X,,n20X,Northern Bl Express,,3,,FE404E,FFFFFF,,,
n21,,n21,Northern Bl / Shore Rd,,3,,60AA47,FFFFFF,,,
n22,,n22,Hillside Av Local,,3,,EF853F,FFFFFF,,,
n22X,,n22X,Hillside Av Express,,3,,FE404E,FFFFFF,,,
n23,,n23,Willis Av / Pt Washington Bl,,3,,60AA47,FFFFFF,,,
n24,,n24,Jericho Tp,,3,,EF853F,FFFFFF,,,
n25,,n25,Franklin Av / New Hyde Park Rd,,3,,60AA47,FFFFFF,,,
n25/58,,n25/58,Franklin Av / New Hyde Park Rd,,3,,60AA47,FFFFFF,,,
n26,,n26,Hillside Av / Lakeville Rd,,3,,41B6BB,FFFFFF,,,
n27,,n27,Roslyn Rd / Glen Cove Rd,,3,,297B3F,FFFFFF,,,
n31,,n31,Hempstead Av / W Broadway,,3,,EF853F,FFFFFF,,,
n31X,,n31X/M,W Broadway Express,,3,,FE404E,FFFFFF,,,
n32,,n32,Hempstead Av / Broadway,,3,,EF853F,FFFFFF,,,
n33,,n33,Long Beach / Far Rockaway,,3,,60AA47,FFFFFF,,,
n35,,n35,Grand Av / Clinton Rd,,3,,297B3F,FFFFFF,,,
n4,,n4,Merrick Rd Local,,3,,EF853F,FFFFFF,,,
n40,,n40,Nassau Rd / Franklin Av,,3,,EF853F,FFFFFF,,,
n40X,,n40X,Mineola / Franklin Express,,3,,FE404E,FFFFFF,,,
n41,,n41,Nassau Rd,,3,,EF853F,FFFFFF,,,
n43,,n43,Babylon Tp / Uniondale Av,,3,,60AA47,FFFFFF,,,
n43X,,n43X,Uniondale Av Express,,3,,FE404E,FFFFFF,,,
n48,,n48,Front St / Carman Av,,3,,297B3F,FFFFFF,,,
n49,,n49,Front St / Newbridge Rd,,3,,60AA47,FFFFFF,,,
n4X,,n4X,Merrick Rd Express,,3,,FE404E,FFFFFF,,,
n54,,n54,Jerusalem Av / Washington Av,,3,,297B3F,FFFFFF,,,
n55,,n55,Jerusalem Av / Broadway,,3,,60AA47,FFFFFF,,,
n57,,n57,Great Neck Loop,,3,,297B3F,FFFFFF,,,
n58,,n58,Middle Neck Rd / Steamboat Rd,,3,,60AA47,FFFFFF,,,
n6,,n6,Hempstead Tp Local,,3,,EF853F,FFFFFF,,,
n6X,,n6X,Hempstead Tp Express,,3,,FE404E,FFFFFF,,,
n70,,n70,Hempstead Tp,,3,,EF853F,FFFFFF,,,
n71,,n71,SR-110 / Carmans Rd,,3,,EF853F,FFFFFF,,,
n78,,n78,Old Country Rd,,3,,41B6BB,FFFFFF,,,
n79,,n79,Manetto Hill Rd / Jericho Tp,,3,,257489,FFFFFF,,,
n80,,n80,Broadway / Hicksville Rd,,3,,41B6BB,FFFFFF,,,
n88X,,n88X,Jones Beach Loop,,3,,FE404E,FFFFFF,,,
sEF,,ELFX,Elmont Flexi Shuttle,,3,,60AA47,FFFFFF,,,
sPW,,PWS,Port Washington Shuttle,,3,,257489,FFFFFF,,,
