route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
n40,Sat,7401005,Mineola,,0,0460,1,,
n40,Sat,7402006,Freeport,,1,0460,2,,
n4,Sat,7044014,Jamaica,,0,0460,3,,
n4,Sat,7043014,Freeport,,1,0460,4,,
n40,Sat,7401019,Mineola,,0,0460,1,,
n40,Sat,7402019,Freeport,,1,0460,2,,
n4,Sat,7044028,Jamaica,,0,0460,3,,
n4,Sat,7043028,Freeport,,1,0460,4,,
n4,Sat,7044003,Jamaica,,0,0461,3,,
n4,Sat,7043003,Freeport,,1,0461,4,,
n40,Sat,7401008,Mineola,,0,0461,1,,
n40,Sat,7402009,Freeport,,1,0461,2,,
n4,Sat,7044017,Jamaica,,0,0461,3,,
n4,Sat,7043017,Freeport,,1,0461,4,,
n40,Sat,7401022,Mineola,,0,0461,1,,
n40,Sat,7402022,Freeport,,1,0461,2,,
n4,Sat,7044004,Jamaica,,0,0462,3,,
n4,Sat,7043004,Freeport,,1,0462,4,,
n4,Sat,7044012,Jamaica,,0,0462,3,,
n4,Sat,7043012,Freeport,,1,0462,4,,
n4,Sat,7044020,Jamaica,,0,0462,3,,
n4,Sat,7043020,Freeport,,1,0462,4,,
n40,Sat,7401025,Mineola,,0,0462,1,,
n4,Sat,7044005,Jamaica,,0,0463,3,,
n4,Sat,7043005,Freeport,,1,0463,4,,
n4,Sat,7044013,Jamaica,,0,0463,3,,
n4,Sat,7043013,Freeport,,1,0463,4,,
n4,Sat,7044021,Jamaica,,0,0463,3,,
n4,Sat,7043021,Freeport,,1,0463,4,,
n40,Sat,7401026,Mineola,,0,0463,1,,
n40,Sat,7402026,Freeport,,1,0463,2,,
n4,Sat,7044006,Jamaica,,0,0464,3,,
n4,Sat,7043006,Freeport,,1,0464,4,,
n40,Sat,7401011,Mineola,,0,0464,1,,
n40,Sat,7402012,Freeport,,1,0464,2,,
